experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	pairwise_plate	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score
HsVcPPILacVa2rdo	C3PPJL	sample_07	D_DB_DB_n_for	P_AD_term_i5	KRT2	55855	2	HsVcPPILacVa2_1	G04	KRT36	71152	3AT	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	H01	empty_AD	0	3AT	3	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	D_DB_DB_n_for	P_AD_term_i5	RP2	11374	1	HsVcPPILacVa2_1	H02	empty_AD	0	3AT	3	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	D_DB_DB_n_for	P_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	H03	empty_AD	0	3AT	3	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	D_DB_DB_n_for	P_AD_term_i5	KRT2	55855	2	HsVcPPILacVa2_1	H04	empty_AD	0	3AT	3	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	VAPB	3756	1	HsVcPPILacVa2_1	A01	TTC39B	53344	3AT	1	3
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	MYD88	138	1	HsVcPPILacVa2_1	A02	SPOPL	14447	3AT	1	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	CFP	7637	2	HsVcPPILacVa2_1	A03	KRTAP6-2	100014733	3AT	1	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	A04	RAD54L2	12685	3AT	1	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	A05	RCN1	6932	3AT	1	3
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	VAPB	3756	1	HsVcPPILacVa2_1	B01	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	MYD88	138	1	HsVcPPILacVa2_1	B02	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	CFP	7637	2	HsVcPPILacVa2_1	B03	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	B04	PIAS2	6490	3AT	1	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	B05	RNF125	2680	3AT	1	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	C01	KRTAP4-2	56106	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	RP2	11374	2	HsVcPPILacVa2_1	C02	OSTF1	5498	3AT	1	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	CFP	7637	1	HsVcPPILacVa2_1	C03	KRTAP6-2	100014733	3AT	1	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	C04	DDIT4L	3068	3AT	1	NA
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	C05	LMO2	1136	3AT	1	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	D01	KRTAP10-8	56717	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	RP2	11374	2	HsVcPPILacVa2_1	D02	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	CFP	7637	1	HsVcPPILacVa2_1	D03	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	D04	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	D05	YJU2B	4396	3AT	1	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	E01	SPRY3	13913	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	RP2	11374	3	HsVcPPILacVa2_1	E02	OSTF1	5498	3AT	1	3
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	E03	RAD54L2	12685	3AT	1	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	KRT2	55855	1	HsVcPPILacVa2_1	E04	KRT36	71152	3AT	1	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	E05	CFAP161	71430	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	F01	SPRED1	70824	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	RP2	11374	3	HsVcPPILacVa2_1	F02	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	F03	PIAS2	6490	3AT	1	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	KRT2	55855	1	HsVcPPILacVa2_1	F04	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	F05	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	G01	SIVA1	2526	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	RP2	11374	1	HsVcPPILacVa2_1	G02	OSTF1	5498	3AT	1	3
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	G03	DDIT4L	3068	3AT	1	NA
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	KRT2	55855	2	HsVcPPILacVa2_1	G04	KRT36	71152	3AT	1	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	H01	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	RP2	11374	1	HsVcPPILacVa2_1	H02	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	H03	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	K_DB_DB_n_for	E_AD_term_i5	KRT2	55855	2	HsVcPPILacVa2_1	H04	empty_AD	0	3AT	1	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	VAPB	3756	1	HsVcPPILacVa2_1	A01	TTC39B	53344	3AT	2	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	MYD88	138	1	HsVcPPILacVa2_1	A02	SPOPL	14447	3AT	2	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	CFP	7637	2	HsVcPPILacVa2_1	A03	KRTAP6-2	100014733	3AT	2	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	A04	RAD54L2	12685	3AT	2	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	A05	RCN1	6932	3AT	2	3
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	VAPB	3756	1	HsVcPPILacVa2_1	B01	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	MYD88	138	1	HsVcPPILacVa2_1	B02	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	CFP	7637	2	HsVcPPILacVa2_1	B03	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	B04	PIAS2	6490	3AT	2	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	B05	RNF125	2680	3AT	2	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	C01	KRTAP4-2	56106	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	RP2	11374	2	HsVcPPILacVa2_1	C02	OSTF1	5498	3AT	2	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	CFP	7637	1	HsVcPPILacVa2_1	C03	KRTAP6-2	100014733	3AT	2	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	C04	DDIT4L	3068	3AT	2	NA
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	C05	LMO2	1136	3AT	2	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	D01	KRTAP10-8	56717	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	RP2	11374	2	HsVcPPILacVa2_1	D02	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	CFP	7637	1	HsVcPPILacVa2_1	D03	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	D04	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	D05	YJU2B	4396	3AT	2	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	E01	SPRY3	13913	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	RP2	11374	3	HsVcPPILacVa2_1	E02	OSTF1	5498	3AT	2	3
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	E03	RAD54L2	12685	3AT	2	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	KRT2	55855	1	HsVcPPILacVa2_1	E04	KRT36	71152	3AT	2	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	E05	CFAP161	71430	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	F01	SPRED1	70824	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	RP2	11374	3	HsVcPPILacVa2_1	F02	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	F03	PIAS2	6490	3AT	2	2
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	KRT2	55855	1	HsVcPPILacVa2_1	F04	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	F05	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	G01	SIVA1	2526	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	RP2	11374	1	HsVcPPILacVa2_1	G02	OSTF1	5498	3AT	2	3
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	G03	DDIT4L	3068	3AT	2	NA
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	KRT2	55855	2	HsVcPPILacVa2_1	G04	KRT36	71152	3AT	2	4
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	H01	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	RP2	11374	1	HsVcPPILacVa2_1	H02	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	H03	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_07	N_DB_DB_n_for	O_AD_term_i5	KRT2	55855	2	HsVcPPILacVa2_1	H04	empty_AD	0	3AT	2	0
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	VAPB	3756	1	HsVcPPILacVa2_1	A01	TTC39B	53344	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	MYD88	138	1	HsVcPPILacVa2_1	A02	SPOPL	14447	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	CFP	7637	2	HsVcPPILacVa2_1	A03	KRTAP6-2	100014733	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	A04	RAD54L2	12685	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	A05	RCN1	6932	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	VAPB	3756	1	HsVcPPILacVa2_1	B01	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	MYD88	138	1	HsVcPPILacVa2_1	B02	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	CFP	7637	2	HsVcPPILacVa2_1	B03	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	B04	PIAS2	6490	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	B05	RNF125	2680	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	C01	KRTAP4-2	56106	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	RP2	11374	2	HsVcPPILacVa2_1	C02	OSTF1	5498	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	CFP	7637	1	HsVcPPILacVa2_1	C03	KRTAP6-2	100014733	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	C04	DDIT4L	3068	LW	3	NA
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	C05	LMO2	1136	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	D01	KRTAP10-8	56717	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	RP2	11374	2	HsVcPPILacVa2_1	D02	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	CFP	7637	1	HsVcPPILacVa2_1	D03	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	IMPDH1	71077	1	HsVcPPILacVa2_1	D04	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	D05	YJU2B	4396	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	E01	SPRY3	13913	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	RP2	11374	3	HsVcPPILacVa2_1	E02	OSTF1	5498	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	E03	RAD54L2	12685	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	KRT2	55855	1	HsVcPPILacVa2_1	E04	KRT36	71152	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	E05	CFAP161	71430	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	F01	SPRED1	70824	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	RP2	11374	3	HsVcPPILacVa2_1	F02	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	F03	PIAS2	6490	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	KRT2	55855	1	HsVcPPILacVa2_1	F04	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	EFHC1	7866	1	HsVcPPILacVa2_1	F05	empty_AD	0	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	AQP1	1231	1	HsVcPPILacVa2_1	G01	SIVA1	2526	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	RP2	11374	1	HsVcPPILacVa2_1	G02	OSTF1	5498	LW	3	4
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	IMPDH1	71077	2	HsVcPPILacVa2_1	G03	DDIT4L	3068	LW	3	NA
HsVcPPILacVa2rdo	C3PPJL	sample_08	D_DB_DB_n_for	P_AD_term_i5	KRT2	55855	2	HsVcPPILacVa2_1	G04	KRT36	71152	LW	3	4
